sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
108;pms5003;3520;-26.689;27.817;2021-05-13T14:38:06.948911+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:38:06.948911+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:38:06.948911+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:38:19.695258+00:00;humidity;33.90
107;DHT22;3520;-26.689;27.817;2021-05-13T14:38:19.695258+00:00;temperature;21.50
108;pms5003;3520;-26.689;27.817;2021-05-13T14:39:09.826028+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:39:09.826028+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:39:09.826028+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:39:22.393586+00:00;humidity;37.70
107;DHT22;3520;-26.689;27.817;2021-05-13T14:39:22.393586+00:00;temperature;19.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:40:12.738128+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:40:12.738128+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:40:12.738128+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:40:25.407234+00:00;humidity;37.70
107;DHT22;3520;-26.689;27.817;2021-05-13T14:40:25.407234+00:00;temperature;19.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:41:15.052920+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:41:15.052920+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:41:15.052920+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:41:27.482057+00:00;humidity;41.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:41:27.482057+00:00;temperature;19.30
108;pms5003;3520;-26.689;27.817;2021-05-13T14:42:17.547127+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:42:17.547127+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:42:17.547127+00:00;P0;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:43:10.000504+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:43:10.000504+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:43:10.000504+00:00;P0;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:44:02.196377+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:44:02.196377+00:00;P1;0.00
